"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\user.js", "JavaScript", 0, 6, 0, -3, -1, 2
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\user.js", "JavaScript", 0, 6, 0, 0, 0, 6
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\user.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\yusuf\Desktop\he-we-go-again\package-lock.json", "JSON", 0, 0, 43, 0, 0, 43
"c:\Users\yusuf\Desktop\he-we-go-again\package.json", "JSON", 0, 0, 2, 0, 0, 2
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\changePassword.vue", "Vue", 61, 0, 0, 0, 2, 63
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\fileUpload.vue", "Vue", 1, 0, 0, 0, 0, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\googleAuth.vue", "Vue", 87, 0, 0, 0, 8, 95
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\googleAuthJS.vue", "Vue", 0, 0, 0, 0, 2, 2
"c:\Users\yusuf\Desktop\he-we-go-again\src\main.js", "JavaScript", 0, 6, 0, 0, 2, 8
"c:\Users\yusuf\Desktop\he-we-go-again\src\plugins\vuetify.js", "JavaScript", 0, 17, 0, 0, 0, 17
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LoginView.vue", "Vue", 3, 0, 0, 0, 1, 4
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\SettingsView.vue", "Vue", 8, 0, 0, 0, 1, 9
"Total", "-", 160, 36, 45, -3, 16, 254